------------------------------------------------------------
 Model:        tpxo7
 Constituents included: m2  s2  n2  k2  k1  o1  p1  q1  mf  mm  m4  ms4 mn4 
 
     Lat       Lon        mm.dd.yyyy hh:mm:ss     z(m)   Depth(m)
 
     9.7958  103.4719
                          06.26.2000 11:00:00     0.093    30.201
                          06.26.2000 12:00:00     0.094    30.201
                          06.26.2000 13:00:00     0.084    30.201
                          06.26.2000 14:00:00     0.065    30.201
                          06.26.2000 15:00:00     0.042    30.201
                          06.26.2000 16:00:00     0.018    30.201
                          06.26.2000 17:00:00    -0.001    30.201
                          06.26.2000 18:00:00    -0.012    30.201
                          06.26.2000 19:00:00    -0.018    30.201
                          06.26.2000 20:00:00    -0.018    30.201
                          06.26.2000 21:00:00    -0.018    30.201
                          06.26.2000 22:00:00    -0.020    30.201
                          06.26.2000 23:00:00    -0.024    30.201
                          06.27.2000 00:00:00    -0.031    30.201
                          06.27.2000 01:00:00    -0.040    30.201
                          06.27.2000 02:00:00    -0.049    30.201
                          06.27.2000 03:00:00    -0.056    30.201
                          06.27.2000 04:00:00    -0.058    30.201
                          06.27.2000 05:00:00    -0.051    30.201
                          06.27.2000 06:00:00    -0.034    30.201
                          06.27.2000 07:00:00    -0.007    30.201
                          06.27.2000 08:00:00     0.026    30.201
                          06.27.2000 09:00:00     0.060    30.201
                          06.27.2000 10:00:00     0.087    30.201
                          06.27.2000 11:00:00     0.104    30.201
                          06.27.2000 12:00:00     0.108    30.201
                          06.27.2000 13:00:00     0.097    30.201
                          06.27.2000 14:00:00     0.074    30.201
                          06.27.2000 15:00:00     0.041    30.201
                          06.27.2000 16:00:00     0.002    30.201
                          06.27.2000 17:00:00    -0.036    30.201
                          06.27.2000 18:00:00    -0.067    30.201
                          06.27.2000 19:00:00    -0.084    30.201
                          06.27.2000 20:00:00    -0.087    30.201
                          06.27.2000 21:00:00    -0.078    30.201
                          06.27.2000 22:00:00    -0.062    30.201
                          06.27.2000 23:00:00    -0.042    30.201
                          06.28.2000 00:00:00    -0.024    30.201
                          06.28.2000 01:00:00    -0.009    30.201
                          06.28.2000 02:00:00     0.002    30.201
                          06.28.2000 03:00:00     0.007    30.201
                          06.28.2000 04:00:00     0.009    30.201
                          06.28.2000 05:00:00     0.010    30.201
                          06.28.2000 06:00:00     0.014    30.201
                          06.28.2000 07:00:00     0.026    30.201
                          06.28.2000 08:00:00     0.047    30.201
                          06.28.2000 09:00:00     0.074    30.201
                          06.28.2000 10:00:00     0.101    30.201
                          06.28.2000 11:00:00     0.120    30.201
                          06.28.2000 12:00:00     0.127    30.201
                          06.28.2000 13:00:00     0.118    30.201
                          06.28.2000 14:00:00     0.093    30.201
                          06.28.2000 15:00:00     0.053    30.201
                          06.28.2000 16:00:00     0.002    30.201
                          06.28.2000 17:00:00    -0.054    30.201
                          06.28.2000 18:00:00    -0.107    30.201
                          06.28.2000 19:00:00    -0.147    30.201
                          06.28.2000 20:00:00    -0.166    30.201
                          06.28.2000 21:00:00    -0.162    30.201
                          06.28.2000 22:00:00    -0.138    30.201
                          06.28.2000 23:00:00    -0.101    30.201
                          06.29.2000 00:00:00    -0.058    30.201
                          06.29.2000 01:00:00    -0.016    30.201
                          06.29.2000 02:00:00     0.021    30.201
                          06.29.2000 03:00:00     0.049    30.201
                          06.29.2000 04:00:00     0.067    30.201
                          06.29.2000 05:00:00     0.075    30.201
                          06.29.2000 06:00:00     0.077    30.201
                          06.29.2000 07:00:00     0.079    30.201
                          06.29.2000 08:00:00     0.086    30.201
                          06.29.2000 09:00:00     0.102    30.201
                          06.29.2000 10:00:00     0.124    30.201
                          06.29.2000 11:00:00     0.144    30.201
                          06.29.2000 12:00:00     0.154    30.201
                          06.29.2000 13:00:00     0.149    30.201
                          06.29.2000 14:00:00     0.125    30.201
                          06.29.2000 15:00:00     0.083    30.201
                          06.29.2000 16:00:00     0.025    30.201
                          06.29.2000 17:00:00    -0.045    30.201
                          06.29.2000 18:00:00    -0.119    30.201
                          06.29.2000 19:00:00    -0.185    30.201
                          06.29.2000 20:00:00    -0.230    30.201
                          06.29.2000 21:00:00    -0.247    30.201
                          06.29.2000 22:00:00    -0.232    30.201
                          06.29.2000 23:00:00    -0.191    30.201
   -29.6760   59.5502
                          06.21.2000 00:00:00     0.219  3774.277
                          06.21.2000 01:00:00     0.066  3774.277
                          06.21.2000 02:00:00    -0.096  3774.277
                          06.21.2000 03:00:00    -0.227  3774.277
                          06.21.2000 04:00:00    -0.297  3774.277
                          06.21.2000 05:00:00    -0.294  3774.277
                          06.21.2000 06:00:00    -0.224  3774.277
                          06.21.2000 07:00:00    -0.110  3774.277
                          06.21.2000 08:00:00     0.017  3774.277
                          06.21.2000 09:00:00     0.123  3774.277
                          06.21.2000 10:00:00     0.181  3774.277
                          06.21.2000 11:00:00     0.177  3774.277
                          06.21.2000 12:00:00     0.111  3774.277
                          06.21.2000 13:00:00     0.004  3774.277
                          06.21.2000 14:00:00    -0.115  3774.277
                          06.21.2000 15:00:00    -0.209  3774.277
                          06.21.2000 16:00:00    -0.251  3774.277
                          06.21.2000 17:00:00    -0.226  3774.277
                          06.21.2000 18:00:00    -0.139  3774.277
                          06.21.2000 19:00:00    -0.010  3774.277
                          06.21.2000 20:00:00     0.131  3774.277
                          06.21.2000 21:00:00     0.252  3774.277
                          06.21.2000 22:00:00     0.323  3774.277
                          06.21.2000 23:00:00     0.327  3774.277
                          06.22.2000 00:00:00     0.261  3774.277
                          06.22.2000 01:00:00     0.140  3774.277
                          06.22.2000 02:00:00    -0.008  3774.277
                          06.22.2000 03:00:00    -0.146  3774.277
                          06.22.2000 04:00:00    -0.243  3774.277
                          06.22.2000 05:00:00    -0.279  3774.277
                          06.22.2000 06:00:00    -0.249  3774.277
                          06.22.2000 07:00:00    -0.168  3774.277
                          06.22.2000 08:00:00    -0.058  3774.277
                          06.22.2000 09:00:00     0.051  3774.277
                          06.22.2000 10:00:00     0.132  3774.277
                          06.22.2000 11:00:00     0.165  3774.277
                          06.22.2000 12:00:00     0.142  3774.277
