id,lat,lon,name,status,country,location
1619,38.77999878,-8.130000114,Lisbona (Temp),active,,
1048,44.61999893,8.930000305,Malpensa (Press),active,,
1047,44.61999893,8.630000114,Malpensa (Temp),active,,
2065,48.38285065,-4.494838238,Brest,active,Spain,
2359,60.0304985,20.38875961,Degerby,active,Finland ,
2342,60.03187943,20.38482094,F�gl� Degerby ,active,Finland ,
2358,60.5697403,27.19794083,Hamina,active,Finland ,
2344,60.56277084,27.17919922,Hamina Pit�j�nsaari ,active,Finland ,
2357,59.83330154,22.95000076,Hanko,active,,
2343,59.82286835,22.97657967,Hanko Pikku Kolalahti,active,Finland ,
2356,60.16952133,24.9354496,Helsinki ,active,Finland ,
2331,60.1536293,24.95622063,Helsinki Kaivopuisto ,active,Finland ,
2355,62.38330078,21.2166996,Kaskinen ,active,Finland ,
2341,62.34394836,21.2148304,Kaskinen �dsk�r ,active,Finland ,
2348,65.69560242,24.62229919,Kemi ,active,Finland ,
2333,65.6729126,24.5152607,Kemi Ajos ,active,Finland ,
2354,61.58332825,21.48332977,M�ntyluoto ,active,Finland ,
2353,65.01235962,25.46816063,Oulu ,active,Finland ,
2339,65.04029846,25.41819954,Oulu Toppila ,active,Finland ,
2347,63.66999817,22.67000008,Pietarsaaren Golf ,active,Finland ,
2340,63.70856857,22.68958092,Pietarsaari Lepp�luoto ,active,Finland ,
2345,61.59437943,21.4634304,Pori M�ntyluoto Kallo,active,Finland ,
2352,64.68332672,24.48332977,Raahe ,active,Finland ,
2330,64.66590118,24.4070797,Raahe Lapaluoto ,active,Finland ,
2351,61.12723923,21.51127052,Rauma ,active,Finland ,
2337,61.13352966,21.4634304,Rauma Ulko-Pet�j�s ,active,Finland ,
2350,60.45148087,22.26869011,Turku ,active,Finland ,
2338,60.42827988,22.10053062,Turku Ruissalo Saaronniemi,active,Finland ,
2349,63.09600067,21.61577034,Vaasa ,active,Finland ,
2336,63.08150101,21.57118034,Vaasa Vaskiluoto ,active,Finland ,
2012,44.70589828,30.77829933,EUxRO01,active,Romania,
2024,44.31779861,30.41349983,EUxRO02,active,Romania,
2025,43.97909927,29.93639946,EUxRO03,active,Romania,
2041,43.80220032,28.60549927,RomaniaCoastalGauge,active,Romania,
2039,43.1344986,28.45610046,RomaniaEUXBg04,active,Romania,
2040,43.43119812,28.79949951,RomaniaEUXBg05,active,Romania,
2042,44.16080093,28.65719986,RomaniaSite01,active,Romania,
2043,45.16210175,29.7269001,RomaniaSite02,active,Romania,
2044,43.80149841,28.59499931,RomaniaSite03,active,Romania,
2004,36.79750824,21.96279907,Koroni (Prs),active,,
2005,36.79750824,21.96279907,Koroni (Rad),active,,
2010,36.79750824,21.96279907,Koroni_NOA (Prs),active,,
2011,36.79750824,21.96279907,Koroni_NOA (Rad),active,,
2000,36.14179993,23.00370026,Kythira (Prs),active,,
2001,36.14179993,23.00370026,Kythira (Rad),active,,
2006,36.14179993,23.00370026,Kythira_NOA (Prs),active,,
2007,36.14179993,23.00370026,Kythira_NOA (Rad),active,,
2002,35.22399902,23.67860031,Paleochora (Prs),active,,
2003,35.22399902,23.67860031,Paleochora (Rad),active,,
2008,35.22399902,23.67860031,Paleochora_NOA (Prs),active,,
2009,35.22399902,23.67860031,Paleochora_NOA (Rad),active,,
2066,51.11439514,1.322550058,Dover,active,Spain,
2541,38.33832932,-0.477770001,Ign - Alicante1,active,Spain,
2542,38.33889008,-0.481389999,Ign - Alicante2,active,Spain,
2551,36.83221817,-2.484721899,Ign - Almeria,active,Spain,
2544,43.36444092,-8.398889542,Ign - Coruna,active,Spain,
2548,28.49666977,-13.85916996,Ign - Fuerte,active,Spain,
2543,37.59638977,-0.973609984,Ign - Murcia,active,Spain,
2545,28.47722054,-16.24110985,Ign - Tenerife13,active,Spain,
2546,28.41832924,-16.55056,Ign - Tenerife21,active,Spain,
2547,28.04693985,-16.71805,Ign - Tenerife31,active,Spain,
1992,37.77170181,-122.2983017,USA - Alameda San Francisco Bay_IOOS,active,USA,
1988,39.35499954,-74.41829681,USA - Atlantic city_IOOS,active,USA,
1989,46.90430069,-124.1051025,USA - Westport_IOOS,active,USA,
1990,18.33519936,-65.63110352,USA -Playa de Fajardo_IOOS,active,USA,
1995,17.59070015,-61.8205986,USA_Barbuda_IOOS,active,USA,
1997,17.75,-64.70500183,USA_Christiansted_IOOS,active,USA,
1994,8.731599808,167.7362061,USA_Kwajalein_IOOS,active,USA,
1996,17.69470024,-64.75379944,USA_Lime Tree Bay_IOOS,active,USA,
1998,17.9701004,-67.04640198,USA_Magueyes Island_IOOS,active,USA,
1993,-14.27999973,-170.6900024,USA_Pago Pago_IOOS,active,USA,
2021,38.69319916,-9.415399551,Cascais (IPMA),active,Portugal,
2013,32.63999939,-16.90670013,Funchal (IPMA),active,Portugal,
2019,38.53379822,-28.62150002,Horta (IPMA),active,Portugal,
2022,37.09880066,-8.666799545,Lagos (IPMA),active,Portugal,
