Code,GLOSS ID,Country,Location,Connection,DCP ID,Last observation,,Delay,Transmit,View
,,,,,,Level    Time in GMT,,,Interval,
ptpl,,Dominican Republic,Puerto Plata,SEPO40,35407438,5,14:32,9',5',  [open]  
ptpr,209,Haïti,Port au Prince,SEHA10,49A00782,-999,14:28,13',5',  [open]  
ptpt,,France,"Pointe à Pitre, Guadeloupe",ftp,,0.56,14:32,8',5',  [open]  
ptpt2,,France,"Pointe à Pitre, Guadeloupe 2",SZCA01,FR125,0.56,14:31,10',6',  [open]  
ptro,210,Jamaica,Port Royal,SOJM10,92405008,-999,01/09/2016 18:01,5d,5',  [open]  
ptsc,,Barbados,Port St. Charles,SOBR10,BAB00078,0.01,14:31,10',5',  [open]  
ptsp,203,Trinidad & Tobago,Port of Spain,SOTD10,A9C000B6,3.01,13:32,1h,1h,  [open]  
ptve,,France,Port-Vendres,ftp,,0.47,14:32,8',5',  [open]  
ptve2,,France,Port-Vendres2,SZFR01,FR075,0.47,14:31,10',6',  [open]  
pumo,,Mexico,"Puerto Morelos, Q. R.",ftp,,0.78,27/05/2016 16:38,102d,10',  [open]  
pumo2,,Mexico,Puerto Morelos,SOMX10,010F1446,-999,14:31,10',5',  [open]  
puyt,,New Zealand,Puysegur Welcome Bay,SZNZ01,PUYT,7.15,14:34,7',3',  [open]  
pwil,,Chile,Puerto Williams,SXCH40,ADC147CE,4.22,14:18,23',15',  [open]  
pwil2,,Chile,Puerto Williams,web,,4.02,14:08,32',15',  [open]  
qaqo,344,Denmark,"Qaqortoq, Julianehab",email,,0.23,14:36,4',5',  [open]  
qcbc,,Canada,Queen Charlotte,SXAK50,CD404E30,4.72,14:33,8',5',  [open]  
qing,,China,Qinglan,SZCI01,11742,1.17,14:29,12',5',  [open]  
qtro,,Chile,Quintero,SXCH40,ADC2662C,4.12,14:31,10',5',  [open]  
qtro2,,Chile,Quintero,web,,4.12,14:35,5',5',  [open]  
qtro3,,Chile,Quintero,web,,-999,15/06/2016 18:47,83d,5',  [open]  
quar,77,Hong Kong - China,Quarry Bay,SEHK40,QUARYBAY,-999,14:35,6',5',  [open]  
quel,,Chile,Queule,SXCH40,ADC1E736,3.19,14:32,9',5',  [open]  
quel2,,Chile,Queule,web,,3.18,14:35,5',5',  [open]  
quepo,167,Costa Rica,Quepos,SEPO40,3540A250,5.37,14:30,11',5',  [open]  
quin,75,Viet Nam,Qui Nhon,SZVS40,0650771E,3.25,14:34,7',6',  [open]  
quir,,Chile,Quiriquina,SXCH40,ADC2755A,4.58,14:31,10',5',  [open]  
quir2,,Chile,Quiriquina,web,,4.64,14:34,6',5',  [open]  
qura,,Oman,Qurayat,SXOM33,1842C770,0.13,14:31,10',6',  [open]  
RA10,,Italy,Ravenna,ftp,,0.22,14:35,6',5',  [open]  
rangi,,France,"Rangiroa Atoll (Tuamotu, French Polynesia)",SEHI40,B1F00280,0.43,14:00,41',1h,  [open]  
raro,139,Cook Islands,Rarotonga,SZPS01,65980,0.47,14:35,6',3',  [open]  
rbct,,New Zealand,Raoul Island Boat Cove,SZNZ01,RBCT,5.63,14:34,7',3',  [open]  
RC09,,Italy,Reggio Calabria,ftp,,0.01,14:34,7',5',  [open]  
reun,17,France,Pointe des Galets (Reunion Island),ftp,,0.52,14:32,8',5',  [open]  
reun2,17,France,Pointe des Galets (Reunion Island) 2,SZIO02,FR110,0.52,14:30,11',15',  [open]  
reyk,229,Iceland,Reykjavik,ftp,,1.03,14:32,9',1h,  [open]  
rfrt,,New Zealand,Raoul Island Fishing Rock,SZNZ01,RFRT,2.4,14:34,7',3',  [open]  
riki,138,France,"Rikitea (Gambier, French Polynesia)",SEPO40,3541F0D6,6.85,14:31,10',5',  [open]  
rodr,19,Mauritius,Rodrigues,SXXX32,16590056,2.13,14:33,8',6',  [open]  
rorv,234,Norway,Rørvik,web,,1.03,11:00,4h,1h,  [open]  
rosc,,France,Roscoff,ftp,,2.27,14:32,8',5',  [open]  
rosc2,,France,Roscoff 2,SZFR01,FR054,2.25,14:27,14',6',  [open]  
rose,,Dominica island,Roseau,SEPO40,354097CA,5.93,14:28,13',5',  [open]  
ross,,Australia,Rosslyn Bay,SZAU01,59670,3.34,14:35,6',3',  [open]  
rothe,342,Antarctica,Rothera,SEMS40,6B000D98,2.89,14:23,18',15',  [open]  
rous,,France,Ile Rousse,ftp,,0.47,14:32,8',5',  [open]  
rous2,,France,Ile Rousse2,SZFR01,FR802,0.48,14:22,19',6',  [open]  
rtas,,Honduras,Roatan Island Punta Gorda Harbor,SOHO10,50CF45CC,0.93,14:00,41',1h,  [open]  
rudn,,Russia,Rudnaya Pristan,web,,2.41,14:06,35',10',  [open]  
saba,347,Indonesia,Sabang,SZID45,0650B200,1.93,14:33,8',6',  [open]  
sado,,Japan,Sado,SWJP40,SADO,2.19,14:29,12',10',  [open]  
sagr,,Portugal,Sagres,bgan,SAGR,0.29,14:20,21',1',  [open]  
sagu,,Spain,Sagunto,ftp,,-0.07,14:32,9',4',  [open]  
