ID,Name,Group,Latency,Status,Details,Last Date,Max. Time,Min. Time,lat,lon,status
36,"360 NM South-Southwest of Acapulco, Mexico",DART Pacific,5h 41m,,Details, 09 Apr 2018 06:00, 09 Apr 2018 06:00, 15 Mar 2011 00:30,10.840,-100.085,Active
48,400 NM Southeast of Tonga,DART Pacific,5h 41m,,Details, 09 Apr 2018 06:00, 09 Apr 2018 06:00, 11 Nov 2010 00:30,-22.993,-168.098,Active
25,"450 NM Northeast of Tokyo, Japan",DART Pacific,5h 41m,,Details, 09 Apr 2018 06:00, 09 Apr 2018 06:00, 10 Mar 2011 00:01,38.706,148.665,Active
26,"600 NM West-Northwest of Phuket, Thailand",DART Pacific,5h 41m,,Details, 09 Apr 2018 06:00, 09 Apr 2018 06:00, 20 Apr 2010 00:30,8.905,88.540,Active
49,610 NM Northeast of Saipan,DART Pacific,5h 41m,,Details, 09 Apr 2018 06:00, 09 Apr 2018 06:00, 07 Nov 2010 00:30,19.286,155.766,Active
29,"630 NM Southwest of Lima, Peru",DART Pacific,5h 41m,,Details, 09 Apr 2018 06:00, 09 Apr 2018 06:00, 16 Mar 2011 00:30,-17.967,-86.383,Active
30,"690 NM East of Miami, FL",DART Pacific,5h 41m,,Details, 09 Apr 2018 06:00, 09 Apr 2018 06:00, 16 Mar 2011 00:30,23.312,-67.639,Active
28,"710 NM West-Southwest of Panama City, Panama",DART Pacific,5h 41m,,Details, 09 Apr 2018 06:00, 09 Apr 2018 06:00, 05 Feb 2011 00:30,4.923,-90.685,Active
53,"740 NM West of Agana, Guam",DART Pacific,5h 41m,,Details, 09 Apr 2018 06:00, 09 Apr 2018 06:00, 11 Mar 2011 00:30,12.867,132.333,Active
50,790 NM Northwest of Kwajalein,DART Pacific,5h 41m,,Details, 09 Apr 2018 06:00, 09 Apr 2018 06:00, 11 Mar 2011 00:30,11.575,154.588,Active
42,NW Pacific S AK,DART Pacific,5h 41m,,Details, 09 Apr 2018 06:00, 09 Apr 2018 06:00, 16 Mar 2011 00:30,49.626,-169.872,Active
21,Station 21414 - NW Pacific,DART Pacific,5h 41m,,Details, 09 Apr 2018 06:00, 09 Apr 2018 06:00, 11 Mar 2011 00:30,48.942,178.270,Active
73,Station 21415 - 175 NM S of Attu AK,DART Pacific,5h 41m,,Details, 09 Apr 2018 06:00, 09 Apr 2018 06:00, 16 Mar 2011 00:30,50.173,-171.837,Active
1886,Station 23227 - Bay of Bengal,DART Pacific,5h 41m,,Details, 09 Apr 2018 06:00, 09 Apr 2018 06:00, 16 Jul 2012 00:30,6.255,88.792,Active
1887,Station 23228 - Arabian Sea,DART Pacific,5h 41m,,Details, 09 Apr 2018 06:00, 09 Apr 2018 06:00, 16 Jul 2012 00:30,20.799,65.347,Active
1595,"Station 32413 - 1000 NM WestNorthwest of Lima, Peru",DART Pacific,5h 41m,,Details, 09 Apr 2018 06:00, 09 Apr 2018 06:00, 16 Mar 2011 00:30,-7.397,-93.500,Active
1092,"Station 44402 - 136NM SE of Fire Island, NY.",DART Pacific,5h 41m,,Details, 09 Apr 2018 06:00, 09 Apr 2018 06:00, 15 Mar 2011 00:30,39.487,-70.594,Active
68,"Station 46402 - 240 NM South of Dutch Harbor, AK",DART Pacific,5h 41m,,Details, 09 Apr 2018 06:00, 09 Apr 2018 06:00, 16 Mar 2011 00:30,51.069,-164.011,Active
69,"Station 46403 - 230 NM Southeast of Shumagin Island, AK",DART Pacific,5h 41m,,Details, 09 Apr 2018 06:00, 09 Apr 2018 06:00, 16 Mar 2011 00:30,52.650,-156.940,Active
